year,month,state,size,capacity
2014,11,aus,a,0
2014,12,aus,0,3763
2014,12,aus,1,17538
2014,12,aus,2,25752
2014,12,aus,3,2863
2014,12,aus,4,3057
2014,12,aus,5,3015
2014,12,aus,6,4301
2014,12,aus,7,4236
2014,12,aus,8,1500
2014,12,aus,9,0
2014,12,aus,a,0
2015,1,aus,0,3569
2015,1,aus,1,14705
2015,1,aus,2,21721
2015,1,aus,3,2021
2015,1,aus,4,2229
2015,1,aus,5,2235
2015,1,aus,6,2779
2015,1,aus,7,3768
2015,1,aus,8,688
2015,1,aus,9,0
2015,1,aus,a,0
2015,2,aus,0,3790
2015,2,aus,1,15659
2015,2,aus,2,25450
2015,2,aus,3,2626
2015,2,aus,4,3048
2015,2,aus,5,2908
2015,2,aus,6,3805
2015,2,aus,7,3837
2015,2,aus,8,725
2015,2,aus,9,0
2015,2,aus,a,0
2015,3,aus,0,3860
2015,3,aus,1,15900
2015,3,aus,2,26255
2015,3,aus,3,2917
2015,3,aus,4,2883
2015,3,aus,5,2993
2015,3,aus,6,3348
2015,3,aus,7,3935
2015,3,aus,8,1687
2015,3,aus,9,0
2015,3,aus,a,102000
2015,4,aus,0,3235
2015,4,aus,1,13332
2015,4,aus,2,22181
2015,4,aus,3,2414
2015,4,aus,4,2641
2015,4,aus,5,2843
2015,4,aus,6,2861
2015,4,aus,7,1968
2015,4,aus,8,2371
2015,4,aus,9,0
2015,4,aus,a,0
2015,5,aus,0,3396
2015,5,aus,1,13390
2015,5,aus,2,23781
2015,5,aus,3,2805
2015,5,aus,4,3029
2015,5,aus,5,2841
2015,5,aus,6,3808
2015,5,aus,7,3800
2015,5,aus,8,3055
2015,5,aus,9,0
2015,5,aus,a,0
2015,6,aus,0,3179
2015,6,aus,1,13444
2015,6,aus,2,25319
2015,6,aus,3,2872
2015,6,aus,4,3142
2015,6,aus,5,3718
2015,6,aus,6,4133
2015,6,aus,7,3598
2015,6,aus,8,1000
2015,6,aus,9,0
2015,6,aus,a,0
2015,7,aus,0,3489
