year,month,state,capacity
2009,11,sa,1637.0
2009,12,sa,1411.0
2010,1,sa,2365.0
2010,2,sa,1488.0
2010,3,sa,1739.0
2010,4,sa,2079.0
2010,5,sa,2556.0
2010,6,sa,2465.0
2010,7,sa,2417.0
2010,8,sa,2792.0
2010,9,sa,3512.0
2010,10,sa,3533.0
2010,11,sa,4867.0
2010,12,sa,4662.0
2011,1,sa,5637.0
2011,2,sa,7767.0
2011,3,sa,10151.0
2011,4,sa,10639.0
2011,5,sa,15682.0
2011,6,sa,24677.0
2011,7,sa,12291.0
2011,8,sa,13941.0
2011,9,sa,17298.0
2011,10,sa,18158.0
2011,11,sa,17022.0
2011,12,sa,10463.0
2012,1,sa,7875.0
2012,2,sa,8117.0
2012,3,sa,8340.0
2012,4,sa,8859.0
2012,5,sa,16466.0
2012,6,sa,24635.0
2012,7,sa,10118.0
2012,8,sa,9399.0
2012,9,sa,7248.0
2012,10,sa,9311.0
2012,11,sa,9713.0
2012,12,sa,18213.0
2013,1,sa,7464.0
2013,2,sa,7567.0
2013,3,sa,8033.0
2013,4,sa,7273.0
2013,5,sa,8249.0
2013,6,sa,8425.0
2013,7,sa,10115.0
2013,8,sa,13032.0
2013,9,sa,16147.0
2013,10,sa,20371.0
2013,11,sa,19966.0
2013,12,sa,15190.0
2014,1,sa,17587.0
2014,2,sa,4785.0
2014,3,sa,5561.0
2014,4,sa,4358.0
2014,5,sa,5919.0
2014,6,sa,4786.0
2014,7,sa,6376.0
2014,8,sa,6110.0
2014,9,sa,6871.0
2014,10,sa,8090.0
2014,11,sa,5958.0
2014,12,sa,6169.0
2015,1,sa,4697.0
2015,2,sa,5402.0
2015,3,sa,5568.0
2015,4,sa,5305.0
2015,5,sa,5511.0
2015,6,sa,5935.0
2015,7,sa,5961.0
2015,8,sa,5195.0
2015,9,sa,6129.0
2015,10,sa,5796.0
2015,11,sa,6158.0
2015,12,sa,5450.0
2016,1,sa,4277.0
2016,2,sa,5867.0
2016,3,sa,5613.0
2016,4,sa,5295.0
2016,5,sa,5313.0
2016,6,sa,5520.0
2016,7,sa,5712.0
2016,8,sa,7820.0
